post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_data:pa_size
"Hoodie with Pocket",hoodie-with-pocket,,64,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",publish,,0,"2024-10-10 19:19:09",1,open,woo-hoodie-with-pocket,,,no,no,,45,35,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"http://localhost/p_shop/wp-content/uploads/2024/10/hoodie-with-pocket-2.jpg ! alt :  ! title : hoodie-with-pocket-2.jpg ! desc :  ! caption : ",,http://localhost/p_shop/product/hoodie-with-pocket/,0,simple,,"Clothing > Hoodies",,,,,,
"Relaxed Fit Joggers",relaxed-fit-joggers,,177,"Unwind in comfort without compromising style with our Relaxed Fit Joggers. Crafted for both leisure and an active lifestyle, these joggers redefine casual chic. The soft, breathable fabric and relaxed silhouette provide an unmatched level of ease, making them perfect for lounging at home or stepping out for an on-the-go adventure. Versatile and effortlessly cool, our Relaxed Fit Joggers seamlessly combine comfort and fashion, ensuring you feel relaxed and look effortlessly stylish no matter the occasion.","The soft, breathable fabric and relaxed silhouette provide an unmatched level of ease, making them perfect for lounging at home or stepping out for an on-the-go adventure. Versatile and effortlessly cool, our Relaxed Fit Joggers seamlessly combine comfort and fashion, ensuring you feel relaxed and look effortlessly stylish no matter the occasion.",publish,,0,"2024-10-10 09:30:46",1,open,,,,no,no,,250.00,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/p_shop/wp-content/uploads/2024/03/img-02-c.jpg ! alt :  ! title : img-02-c ! desc :  ! caption :  | http://localhost/p_shop/wp-content/uploads/2024/03/img-03-a.jpg ! alt :  ! title : img-03-a ! desc :  ! caption :  | http://localhost/p_shop/wp-content/uploads/2024/03/img-03-b.jpg ! alt :  ! title : img-03-b ! desc :  ! caption : ",,http://localhost/p_shop/product/relaxed-fit-joggers/,0,simple,,"Work & Office",,,,,,
"Professional Pinstripe Blazer",professional-pinstripe-blazer,,184,"Make a bold statement in the corporate world with our Professional Pinstripe Blazer, the epitome of executive elegance. Meticulously tailored, this blazer is a harmonious blend of classic design and contemporary flair, featuring a timeless pinstripe pattern that exudes confidence and sophistication. Whether you\'re leading a meeting or attending a formal event, the structured silhouette and refined details of our Professional Pinstripe Blazer will elevate your style, leaving an indelible mark of professionalism and grace.","Whether you're leading a meeting or attending a formal event, the structured silhouette and refined details of our Professional Pinstripe Blazer will elevate your style, leaving an indelible mark of professionalism and grace.",publish,,0,"2024-10-10 09:30:46",1,open,,,,no,no,,109.99,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/p_shop/wp-content/uploads/woocommerce-placeholder.png ! alt :  ! title : woocommerce-placeholder ! desc :  ! caption :  |  ! alt :  ! title :  ! desc : <!-- wp:shortcode -->[woocommerce_checkout]<!-- /wp:shortcode --> ! caption :  |  ! alt :  ! title :  ! desc : <!-- wp:shortcode -->[woocommerce_cart]<!-- /wp:shortcode --> ! caption : ",,http://localhost/p_shop/product/professional-pinstripe-blazer/,0,simple,,Uncategorized,,,,,,
"Weekend Wanderlust Wardrobe",weekend-wanderlust-wardrobe,,195,"Elevate your professional wardrobe with our Weekend Wanderlust Wardrobe, a timeless masterpiece that seamlessly blends sophistication with modern flair. Meticulously tailored, the classic pinstripe pattern adds a touch of authority, making it an essential ensemble for the empowered woman. The structured silhouette and refined details create a commanding presence, whether you\'re leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Weekend Wanderlust Wardrobe is not just a garment; it\'s a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.","The structured silhouette and refined details create a commanding presence, whether you're leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Weekend Wanderlust Wardrobe is not just a garment; it's a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.",publish,,0,"2024-10-10 09:30:47",1,open,,,,no,no,,119.95,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,," ! alt :  ! title : astra ! desc :  ! caption :  |  ! alt :  ! title : astra ! desc :  ! caption : ",,http://localhost/p_shop/product/weekend-wanderlust-wardrobe/,0,simple,,Uncategorized,,,,,,
"Urban Chic Ensemble",urban-chic-ensemble,,197,"Elevate your professional wardrobe with our Urban Chic Ensemble, a timeless masterpiece that seamlessly blends sophistication with modern flair. Meticulously tailored, the classic pinstripe pattern adds a touch of authority, making it an essential ensemble for the empowered woman. The structured silhouette and refined details create a commanding presence, whether you\'re leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Urban Chic Ensemble is not just a garment; it\'s a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.","The structured silhouette and refined details create a commanding presence, whether you're leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Urban Chic Ensemble is not just a garment; it's a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.",publish,,0,"2024-10-10 09:30:47",1,open,,,,no,no,,224.95,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,," ! alt :  ! title : Contact Form ! desc : {""fields"":{""3"":{""id"":""3"",""type"":""text"",""label"":""Name"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Name"",""limit_count"":""1"",""limit_mode"":""characters"",""default_value"":"""",""input_mask"":"""",""css"":"""",""label_hide"":""1""},""1"":{""id"":""1"",""type"":""email"",""label"":""Email"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Email"",""confirmation_placeholder"":"""",""default_value"":false,""filter_type"":"""",""allowlist"":"""",""denylist"":"""",""css"":"""",""label_hide"":""1""},""2"":{""id"":""2"",""type"":""textarea"",""label"":""Message"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Message"",""limit_count"":""1"",""limit_mode"":""characters"",""default_value"":"""",""css"":"""",""label_hide"":""1""}},""id"":73,""field_id"":4,""settings"":{""form_title"":""Contact Form"",""form_desc"":"""",""submit_text"":""Send"",""submit_text_processing"":""Sending..."",""form_class"":"""",""submit_class"":"""",""ajax_submit"":""1"",""notification_enable"":""1"",""notifications"":{""1"":{""email"":""{admin_email}"",""subject"":""New Entry: Simple Contact Form"",""sender_name"":""Clothing Store"",""sender_address"":""{admin_email}"",""replyto"":""{field_id=\"1\"}"",""message"":""{all_fields}"",""template"":""""}},""confirmations"":{""1"":{""type"":""message"",""message"":""<p>Thanks for contacting us! We will be in touch with you shortly.<\/p>"",""message_scroll"":""1"",""page"":""15"",""redirect"":""""}},""antispam"":""1"",""anti_spam"":{""time_limit"":{""duration"":""3""}},""form_tags"":[]},""meta"":{""template"":""simple-contact-form-template""}} ! caption :  |  ! alt :  ! title : Contact Form ! desc : {""fields"":{""3"":{""id"":""3"",""type"":""text"",""label"":""Name"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Name"",""limit_count"":""1"",""limit_mode"":""characters"",""default_value"":"""",""input_mask"":"""",""css"":"""",""label_hide"":""1""},""1"":{""id"":""1"",""type"":""email"",""label"":""Email"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Email"",""confirmation_placeholder"":"""",""default_value"":false,""filter_type"":"""",""allowlist"":"""",""denylist"":"""",""css"":"""",""label_hide"":""1""},""2"":{""id"":""2"",""type"":""textarea"",""label"":""Message"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Message"",""limit_count"":""1"",""limit_mode"":""characters"",""default_value"":"""",""css"":"""",""label_hide"":""1""}},""id"":73,""field_id"":4,""settings"":{""form_title"":""Contact Form"",""form_desc"":"""",""submit_text"":""Send"",""submit_text_processing"":""Sending..."",""form_class"":"""",""submit_class"":"""",""ajax_submit"":""1"",""notification_enable"":""1"",""notifications"":{""1"":{""email"":""{admin_email}"",""subject"":""New Entry: Simple Contact Form"",""sender_name"":""Clothing Store"",""sender_address"":""{admin_email}"",""replyto"":""{field_id=\"1\"}"",""message"":""{all_fields}"",""template"":""""}},""confirmations"":{""1"":{""type"":""message"",""message"":""<p>Thanks for contacting us! We will be in touch with you shortly.<\/p>"",""message_scroll"":""1"",""page"":""15"",""redirect"":""""}},""antispam"":""1"",""anti_spam"":{""time_limit"":{""duration"":""3""}},""form_tags"":[]},""meta"":{""template"":""simple-contact-form-template""}} ! caption : ",,http://localhost/p_shop/product/urban-chic-ensemble/,0,simple,,"Women > Dresses",,,,,,
Belt,belt,,644,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",publish,,0,"2024-10-10 19:19:05",1,open,woo-belt,,,no,no,,65,55,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"http://localhost/p_shop/wp-content/uploads/2024/10/belt-2.jpg ! alt :  ! title : belt-2.jpg ! desc :  ! caption : ",,http://localhost/p_shop/product/belt/,0,simple,,"Clothing > Accessories",,,,,,
Cap,cap,,646,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",publish,,0,"2024-10-10 19:19:07",1,open,woo-cap,,,no,no,,18,16,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"http://localhost/p_shop/wp-content/uploads/2024/10/cap-2.jpg ! alt :  ! title : cap-2.jpg ! desc :  ! caption : ",,http://localhost/p_shop/product/cap/,0,simple,,"Clothing > Accessories",,,,,,
Sunglasses,sunglasses,,648,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",publish,,0,"2024-10-10 19:19:08",1,open,woo-sunglasses,,,no,no,,90,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"http://localhost/p_shop/wp-content/uploads/2024/10/sunglasses-2.jpg ! alt :  ! title : sunglasses-2.jpg ! desc :  ! caption : ",,http://localhost/p_shop/product/sunglasses/,0,simple,,"Clothing > Accessories",,,,,,
"Hoodie with Zipper",hoodie-with-zipper,,651,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",publish,,0,"2024-10-10 19:19:10",1,open,woo-hoodie-with-zipper,,,no,no,,45,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"http://localhost/p_shop/wp-content/uploads/2024/10/hoodie-with-zipper-2.jpg ! alt :  ! title : hoodie-with-zipper-2.jpg ! desc :  ! caption : ",,http://localhost/p_shop/product/hoodie-with-zipper/,0,simple,,"Clothing > Hoodies",,,,,,
"Long Sleeve Tee",long-sleeve-tee,,653,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",publish,,0,"2024-10-10 19:19:10",1,open,woo-long-sleeve-tee,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"http://localhost/p_shop/wp-content/uploads/2024/10/long-sleeve-tee-2.jpg ! alt :  ! title : long-sleeve-tee-2.jpg ! desc :  ! caption : ",,http://localhost/p_shop/product/long-sleeve-tee/,0,simple,,"Clothing > Tshirts",,,,,,
